original_name,topic,stage,purpose,category,new_filename,description
2_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99322, Requested 952. Please try again in 3m56.736s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
2_1_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99322, Requested 940. Please try again in 3m46.368s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
2_2.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99322, Requested 1052. Please try again in 5m23.135999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
2_2_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99321, Requested 1064. Please try again in 5m32.64s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
30.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99321, Requested 917. Please try again in 3m25.632s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
30_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99321, Requested 923. Please try again in 3m30.816s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
6.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99321, Requested 888. Please try again in 3m0.576s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
6_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99321, Requested 876. Please try again in 2m50.208s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
9.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99321, Requested 908. Please try again in 3m17.856s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
9_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99321, Requested 926. Please try again in 3m33.408s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
A14.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99321, Requested 912. Please try again in 3m21.312s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
A14_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99320, Requested 912. Please try again in 3m20.448s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
Activity_Selection.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99320, Requested 977. Please try again in 4m16.608s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
Activity_Selection_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99320, Requested 983. Please try again in 4m21.792s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
act_vity.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99320, Requested 985. Please try again in 4m23.52s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
act_vity_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99320, Requested 1003. Please try again in 4m39.072s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
Addition_of_Matrices.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99320, Requested 1175. Please try again in 7m7.68s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
Addition_of_Matrices_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99320, Requested 1163. Please try again in 6m57.312s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
ajaj.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99320, Requested 2705. Please try again in 29m9.6s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
ajaj_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99319, Requested 2693. Please try again in 28m58.368s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
all_pair.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99319, Requested 1080. Please try again in 5m44.736s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
all_pair_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99319, Requested 1098. Please try again in 6m0.288s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
amak.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99319, Requested 2412. Please try again in 24m55.583999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
amak_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99319, Requested 2400. Please try again in 24m45.216s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
arithmetic operations pointers. c.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99319, Requested 1139. Please try again in 6m35.712s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
arithmetic operations pointers. c_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99319, Requested 1157. Please try again in 6m51.264s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
array insertion.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99319, Requested 942. Please try again in 3m45.504s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
array insertion_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99318, Requested 960. Please try again in 4m0.191999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
assignment_pointers.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99318, Requested 1636. Please try again in 13m44.256s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
assignment_pointers_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99318, Requested 1636. Please try again in 13m44.256s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
ATM.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99318, Requested 1302. Please try again in 8m55.679999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
ATM_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99318, Requested 1290. Please try again in 8m45.312s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
AVL_trees.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99318, Requested 2245. Please try again in 22m30.432s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
AVL_trees_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99318, Requested 2239. Please try again in 22m25.248s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
binary search.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99317, Requested 941. Please try again in 3m42.911999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
binary search_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99317, Requested 941. Please try again in 3m42.911999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
binary to decimal-recursion. c.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99317, Requested 953. Please try again in 3m53.28s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
binary to decimal-recursion. c_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99317, Requested 953. Please try again in 3m53.28s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
binarysearch.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99317, Requested 1081. Please try again in 5m43.872s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
